Team,BHR,SAU,AUS,AZE,USA,MCO,ESP,CAN,AUT,GBR,HUN,BEL,NLD,ITA,SGP,JPN,QAT,USA,MEX,BRA,USA,ARE
RED,78,95,98,108,97,63,96,86,112,77,95,80,101,81,54,46,64,95,45,105,84,87
MER,45,44,32,49,57,54,65,21,70,53,52,70,40,44,47,44,53,31,69,24,45,51
FER,31,59,3,63,56,37,38,46,73,25,32,38,34,67,70,65,18,35,63,28,78,48
MCL,-16,14,36,23,8,15,11,15,54,68,62,18,56,44,64,66,110,36,57,65,34,59
AST,56,19,54,55,42,15,40,46,63,22,21,24,67,17,4,7,47,0,-7,77,56,32
ALP,8,28,11,25,28,42,33,24,21,-16,-35,43,66,-16,13,20,23,27,21,44,46,11
ALT,17,15,13,-23,17,1,20,6,20,5,8,18,40,-12,-4,15,-4,34,42,31,26,27
ALF,31,7,26,-10,8,22,19,11,16,0,6,26,4,12,-8,-10,39,15,14,-31,12,13
HAA,12,13,18,17,15,7,17,4,14,-18,10,23,26,0,18,15,6,30,-7,-19,12,2
WIL,25,-16,-5,5,1,1,5,-2,35,19,9,21,9,20,19,-35,-10,29,20,2,7,12
